"id","ts_code","trade_date","open","high","low","close","pre_close","vol","amount"
2161877,"399300.SZ","2018-10-22",3159.5614,3297.3803,3159.5614,3270.2732,3134.9455,145862045.0000,170651306.1000
2161876,"399300.SZ","2018-10-23",3273.1271,3276.0205,3163.5704,3183.4257,3270.2732,121013241.0000,142589176.8000
2161875,"399300.SZ","2018-10-24",3169.4571,3245.3971,3164.2930,3188.2018,3183.4257,110909744.0000,120954387.2000
2161874,"399300.SZ","2018-10-25",3107.8402,3197.3212,3099.8887,3194.3084,3188.2018,106951817.0000,113291746.4000
2161873,"399300.SZ","2018-10-26",3204.2845,3218.1021,3151.9244,3173.6350,3194.3084,101299354.0000,106070366.7000
2161872,"399300.SZ","2018-10-29",3157.4879,3158.8114,3062.5803,3076.8889,3173.6350,91839789.0000,108479490.2000
2161871,"399300.SZ","2018-10-30",3061.9300,3146.6276,3050.7709,3110.2605,3076.8889,116070101.0000,131767102.7000
2161870,"399300.SZ","2018-10-31",3116.6582,3168.9187,3106.0279,3153.8234,3110.2605,111207455.0000,117099697.8000
2161869,"399300.SZ","2018-11-01",3185.2020,3217.8034,3173.0992,3177.0338,3153.8234,132653379.0000,145919304.2000
2161868,"399300.SZ","2018-11-02",3258.6093,3290.2455,3222.4354,3290.2455,3177.0338,153466104.0000,178340643.4000
2161867,"399300.SZ","2018-11-05",3269.4695,3279.8781,3230.3632,3262.8351,3290.2455,109706683.0000,123630922.6000
2161866,"399300.SZ","2018-11-06",3254.9778,3254.9778,3213.8950,3243.1504,3262.8351,83869138.0000,91703898.0000
2161865,"399300.SZ","2018-11-07",3243.8775,3270.5003,3218.4219,3221.9101,3243.1504,91615528.0000,101814918.9000
2161864,"399300.SZ","2018-11-08",3251.7281,3253.5735,3207.7084,3212.7737,3221.9101,76414540.0000,85221664.7000
2161863,"399300.SZ","2018-11-09",3193.3039,3193.3039,3166.3106,3167.4442,3212.7737,84282762.0000,88194192.2000
2161862,"399300.SZ","2018-11-12",3160.2465,3206.5127,3152.4399,3205.1407,3167.4442,88062391.0000,97363052.0000
2161861,"399300.SZ","2018-11-13",3164.9222,3254.7684,3161.0979,3237.3823,3205.1407,126493464.0000,125603047.2000
2161860,"399300.SZ","2018-11-14",3233.6409,3239.2448,3200.2285,3204.9427,3237.3823,113808659.0000,105386565.9000
2161859,"399300.SZ","2018-11-15",3201.2814,3242.3836,3198.7814,3242.3715,3204.9427,98558810.0000,100119192.3000
2161858,"399300.SZ","2018-11-16",3242.8790,3282.3900,3223.7215,3257.6735,3242.3715,126876835.0000,135379803.9000
2161857,"399300.SZ","2018-11-19",3258.7919,3294.6031,3251.0665,3294.6031,3257.6735,115956595.0000,123188777.5000
2161856,"399300.SZ","2018-11-20",3268.0768,3278.7845,3213.6833,3218.4076,3294.6031,109361154.0000,114155066.8000
2161855,"399300.SZ","2018-11-21",3187.1025,3230.2578,3185.2393,3226.4918,3218.4076,84119726.0000,87813273.9000
2161854,"399300.SZ","2018-11-22",3232.9731,3235.4524,3199.6981,3214.4273,3226.4918,65098291.0000,70083372.6000
2161853,"399300.SZ","2018-11-23",3208.5930,3212.1952,3139.3857,3143.4752,3214.4273,84638255.0000,86864946.1000
2161852,"399300.SZ","2018-11-26",3148.6721,3169.4418,3131.6360,3141.2434,3143.4752,59379140.0000,61899479.5000
